ticket_handle,game_handle,outcome_h_plus,outcome_h,outcome_t,outcome_v,outcome_v_plus
2634,54,1,1,0,0,0
2634,31,0,0,0,0,0
2634,50,0,1,0,0,0
2637,58,0,0,0,0,0
2637,56,0,1,0,0,0
2637,54,0,1,0,0,0
2637,28,0,0,0,1,1
2637,43,1,1,0,0,0
2637,60,0,0,0,0,0
2637,61,1,1,0,0,0
2637,62,0,0,0,1,1
2637,63,0,0,1,0,0
2637,64,0,0,1,0,0
2637,53,0,0,1,0,0
2637,52,0,0,1,0,0
2637,24,1,1,0,0,0
2637,25,0,0,1,0,0
2637,26,1,1,0,0,0
2637,27,0,0,1,0,0
2637,20,0,0,0,0,0
2637,21,0,0,1,0,0
2637,48,1,1,0,0,0
2637,49,0,1,0,0,0
2637,46,1,1,0,0,0
2637,23,1,1,0,0,0
2637,44,0,0,0,0,0
2637,45,1,1,0,0,0
2637,42,0,0,1,0,0
2637,29,0,0,1,0,0
2637,40,0,0,0,1,1
2637,41,1,1,0,0,0
2637,1,1,1,0,0,0
2637,3,1,1,0,0,0
2637,2,1,1,0,0,0
2637,5,0,0,1,0,0
2637,4,1,1,0,0,0
2637,7,1,1,0,0,0
2637,6,1,1,0,0,0
2637,9,0,0,0,0,0
2637,8,0,0,0,0,0
2637,39,0,0,1,0,0
2637,47,0,0,1,0,0
2637,38,0,0,0,0,0
2637,59,0,0,1,0,0
2637,14,1,1,0,0,0
2637,11,0,0,0,1,1
2637,10,1,1,0,0,0
2637,13,0,0,0,1,1
2637,12,1,1,0,0,0
2637,15,0,0,0,0,0
2637,22,0,0,0,1,1
2637,17,0,0,0,1,1
2637,16,0,0,0,1,1
2637,33,0,0,1,0,0
2637,32,0,1,0,0,0
2637,31,1,1,0,0,0
2637,30,0,0,1,0,0
2637,51,0,1,0,0,0
2637,36,0,0,0,0,0
2637,35,0,0,0,1,1
2637,34,0,1,0,0,0
2637,55,0,0,1,0,0
2637,37,0,1,0,0,0
2637,18,0,0,0,1,1
2637,57,0,1,0,0,0
2637,50,0,0,1,0,0
2636,56,0,0,1,0,0
2636,60,0,0,0,1,1
2636,61,0,0,1,0,0
2636,62,0,0,0,1,1
2636,63,0,0,0,1,1
2636,64,0,0,0,0,0
2636,35,1,1,0,0,0
2636,66,0,0,0,0,0
2636,82,0,0,0,0,0
2636,83,0,0,0,0,0
2636,80,0,0,1,0,0
2636,81,0,0,0,0,0
2636,84,0,0,1,0,0
2636,85,0,1,0,0,0
2636,24,0,0,0,1,1
2636,25,0,0,0,1,1
2636,20,0,1,0,0,0
2636,21,0,0,0,1,1
2636,22,0,0,0,0,0
2636,23,0,0,0,1,1
2636,44,1,1,0,0,0
2636,42,0,1,1,0,0
2636,43,0,0,0,1,1
2636,40,1,1,0,0,0
2636,41,0,0,0,1,1
2636,1,1,1,0,0,0
2636,3,1,1,0,0,0
2636,2,1,1,0,0,0
2636,5,0,0,1,0,0
2636,4,1,1,0,0,0
2636,7,1,1,0,0,0
2636,6,1,1,0,0,0
2636,9,0,0,0,0,0
2636,8,0,0,0,0,0
2636,97,0,0,0,0,0
2636,39,0,1,1,0,0
2636,34,0,1,0,0,0
2636,77,0,1,0,0,0
2636,98,0,1,0,0,0
2636,75,0,1,0,0,0
2636,74,0,1,0,0,0
2636,73,0,0,1,0,0
2636,72,0,1,0,0,0
2636,71,0,0,1,0,0
2636,70,0,0,0,0,0
2636,59,1,1,0,0,0
2636,93,0,0,1,0,0
2636,92,0,0,0,1,1
2636,95,1,1,0,0,0
2636,94,1,1,0,0,0
2636,79,0,1,0,0,0
2636,78,0,0,1,0,0
2636,11,0,0,0,1,1
2636,10,1,1,0,0,0
2636,13,0,0,0,1,1
2636,38,1,1,0,0,0
2636,15,0,1,0,0,0
2636,58,0,0,1,0,0
2636,14,1,1,0,0,0
2636,76,0,1,0,0,0
2636,19,0,1,0,0,0
2636,54,1,1,0,0,0
2636,31,1,1,0,0,0
2636,30,1,1,0,0,0
2636,37,0,0,0,1,1
2636,36,0,0,0,0,0
2636,53,0,1,0,0,0
2636,52,0,0,0,1,1
2636,99,0,0,0,0,0
2636,33,1,1,0,0,0
2636,55,0,0,1,0,0
2636,16,0,0,0,1,1
2636,32,1,1,0,0,0
2636,12,1,1,0,0,0
2636,57,1,1,0,0,0
2636,65,0,0,1,0,0
2598,52,1,1,0,0,0
2598,30,0,1,0,0,0
2598,53,0,0,0,1,1
2598,54,0,0,0,1,1
2598,51,1,1,0,0,0
2598,98,0,1,0,0,0
2598,36,1,1,0,0,0
2598,60,0,1,0,0,0
2598,61,1,1,0,0,0
2598,62,0,0,0,0,0
2598,89,0,0,0,0,0
2598,64,0,0,0,1,1
2598,65,0,0,0,1,1
2598,66,0,0,0,1,1
2598,67,1,1,0,0,0
2598,82,0,1,0,0,0
2598,83,0,0,0,0,0
2598,80,0,1,0,0,0
2598,81,0,1,0,0,0
2598,86,0,0,0,0,0
2598,87,0,1,0,0,0
2598,84,0,0,0,0,0
2598,85,0,1,0,0,0
2598,24,1,1,0,0,0
2598,25,0,0,0,0,0
2598,26,0,0,0,1,1
2598,27,0,0,0,0,0
2598,21,0,0,0,1,1
2598,22,0,0,1,0,0
2598,49,1,1,0,0,0
2598,46,1,1,0,0,0
2598,23,0,0,0,1,1
2598,44,0,0,1,0,0
2598,45,0,0,1,0,0
2598,1,0,0,1,0,0
2598,3,1,1,0,0,0
2598,2,1,1,0,0,0
2598,5,0,0,1,0,0
2598,4,1,1,0,0,0
2598,7,0,0,1,0,0
2598,6,0,0,0,0,0
2598,9,0,0,0,1,1
2598,8,0,1,0,0,0
2598,96,0,0,0,0,0
2598,68,0,0,0,1,1
2598,97,0,0,1,0,0
2598,32,0,0,0,0,0
2598,77,0,0,0,0,0
