Symbol,Name,Sector,price_count,intraday_mean,intraday_stddev
MCK,McKesson Corp.,Health Care,5942.0000,0.0213,0.0112
MDT,Medtronic plc,Health Care,5942.0000,0.0138,0.0071
MRK,Merck & Co.,Health Care,5942.0000,0.0138,0.0074
MET,MetLife Inc.,Financials,4614.0000,0.0168,0.0080
MTD,Mettler Toledo,Health Care,5215.0000,0.0168,0.0097
MGM,MGM Resorts International,Consumer Discretionary,5942.0000,0.0230,0.0115
KORS,Michael Kors Holdings,Consumer Discretionary,1671.0000,0.0227,0.0114
MCHP,Microchip Technology,Information Technology,5942.0000,0.0206,0.0104
MU,Micron Technology,Information Technology,5942.0000,0.0329,0.0163
MSFT,Microsoft Corp.,Information Technology,5942.0000,0.0155,0.0096
MAA,Mid-America Apartments,Real Estate,5942.0000,0.0152,0.0071
MHK,Mohawk Industries,Consumer Discretionary,5942.0000,0.0164,0.0091
TAP,Molson Coors Brewing Company,Consumer Staples,5942.0000,0.0170,0.0119
MDLZ,Mondelez International,Consumer Staples,4315.0000,0.0150,0.0073
MON,Monsanto Co.,Materials,4437.0000,0.0072,0.0062
MNST,Monster Beverage,Consumer Staples,5783.0000,0.0184,0.0090
MCO,Moody's Corp,Financials,5942.0000,0.0152,0.0082
MS,Morgan Stanley,Financials,5942.0000,0.0194,0.0092
MSI,Motorola Solutions Inc.,Information Technology,5942.0000,0.0155,0.0078
MYL,Mylan N.V.,Health Care,5942.0000,0.0262,0.0126
NDAQ,"Nasdaq, Inc.",Financials,4055.0000,0.0143,0.0080
NOV,National Oilwell Varco Inc.,Energy,5480.0000,0.0245,0.0118
NAVI,Navient,Financials,1085.0000,0.0282,0.0137
NKTR,Nektar Therapeutics,Health Care,5942.0000,0.0525,0.0334
NTAP,NetApp,Information Technology,5717.0000,0.0211,0.0109
NFLX,Netflix Inc.,Information Technology,4081.0000,0.0263,0.0148
NWL,Newell Brands,Consumer Discretionary,5942.0000,0.0246,0.0185
NFX,Newfield Exploration Co,Energy,5942.0000,0.0335,0.0143
NEM,Newmont Mining Corporation,Materials,5942.0000,0.0200,0.0094
NWSA,News Corp. Class A,Consumer Discretionary,1294.0000,0.0183,0.0107
NWS,News Corp. Class B,Consumer Discretionary,1294.0000,0.0193,0.0097
NEE,NextEra Energy,Utilities,5942.0000,0.0132,0.0058
NLSN,Nielsen Holdings,Industrials,1895.0000,0.0203,0.0121
NKE,Nike,Consumer Discretionary,5942.0000,0.0164,0.0082
NI,NiSource Inc.,Utilities,5942.0000,0.0146,0.0063
NBL,Noble Energy Inc,Energy,5942.0000,0.0265,0.0116
JWN,Nordstrom,Consumer Discretionary,5942.0000,0.0277,0.0146
NSC,Norfolk Southern Corp.,Industrials,5942.0000,0.0190,0.0099
NTRS,Northern Trust Corp.,Financials,5942.0000,0.0180,0.0088
NOC,Northrop Grumman Corp.,Industrials,5942.0000,0.0155,0.0107
NCLH,Norwegian Cruise Line,Consumer Discretionary,1398.0000,0.0222,0.0106
NRG,NRG Energy,Utilities,3696.0000,0.0268,0.0125
NUE,Nucor Corp.,Materials,5942.0000,0.0223,0.0100
NVDA,Nvidia Corporation,Information Technology,4918.0000,0.0290,0.0176
ORLY,O'Reilly Automotive,Consumer Discretionary,5942.0000,0.0238,0.0145
OXY,Occidental Petroleum,Energy,5942.0000,0.0166,0.0078
OMC,Omnicom Group,Consumer Discretionary,5942.0000,0.0173,0.0088
OKE,ONEOK,Energy,5942.0000,0.0192,0.0086
ORCL,Oracle Corp.,Information Technology,5942.0000,0.0143,0.0081
PCAR,PACCAR Inc.,Industrials,5942.0000,0.0189,0.0105
PKG,Packaging Corporation of America,Materials,4661.0000,0.0174,0.0091
PH,Parker-Hannifin,Industrials,5942.0000,0.0175,0.0105
PAYX,Paychex Inc.,Information Technology,5942.0000,0.0149,0.0085
PYPL,PayPal,Information Technology,770.0000,0.0209,0.0113
PNR,Pentair Ltd.,Industrials,5942.0000,0.0170,0.0088
PBCT,People's United Financial,Financials,5942.0000,0.0170,0.0072
PEP,PepsiCo Inc.,Consumer Staples,5942.0000,0.0115,0.0060
PKI,PerkinElmer,Health Care,5942.0000,0.0151,0.0084
PRGO,Perrigo,Health Care,5942.0000,0.0231,0.0129
PFE,Pfizer Inc.,Health Care,5942.0000,0.0129,0.0076
PCG,PG&E Corp.,Utilities,5942.0000,0.0189,0.0160
PM,Philip Morris International,Consumer Staples,2618.0000,0.0152,0.0103
PSX,Phillips 66,Energy,1591.0000,0.0160,0.0077
PNW,Pinnacle West Capital,Utilities,5942.0000,0.0135,0.0065
PXD,Pioneer Natural Resources,Energy,5284.0000,0.0245,0.0109
PNC,PNC Financial Services,Financials,5942.0000,0.0170,0.0079
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,5324.0000,0.0242,0.0124
PPG,PPG Industries,Materials,5942.0000,0.0151,0.0104
PPL,PPL Corp.,Utilities,5942.0000,0.0146,0.0074
PX,Praxair Inc.,Materials,5942.0000,0.0151,0.0084
PFG,Principal Financial Group,Financials,4227.0000,0.0173,0.0096
PG,Procter & Gamble,Consumer Staples,5942.0000,0.0111,0.0057
PGR,Progressive Corp.,Financials,5941.0000,0.0147,0.0086
PLD,Prologis,Real Estate,5210.0000,0.0155,0.0071
PRU,Prudential Financial,Financials,4191.0000,0.0166,0.0092
